-,-,-
-1124, -146, 64
-883, -150, 77
-883, -150, 77
-989, -171, 161
-781, -210, -31
-909, -167, 91
-1172, -58, 166
-981, -87, 100
-618, -98, 169
-721, -83, 267
-660, -125, 314
-405, -213, 272
-303, -203, 177
-303, -203, 177
-366, -160, 220
-282, -224, 88
-351, -148, 48
-696, 7, 318
-744, -16, 136
-955, -141, 206
-1400, -7, 495
-1442, 126, 333
-1442, 126, 333
-1467, 105, 124
-1474, 93, 181
-1524, 135, 394
-1593, 51, 312
-1617, 20, 220
-1730, 13, 141
-1785, 16, -7
-1798, 82, 193
-1845, 54, 319
-,-,-
-859, -337, -13
-575, -187, 516
-860, -233, 266
-1092, -334, -21
-872, -266, 397
-785, -194, 445
-365, -35, 56
-78, 32, 68
-78, 32, 68
-146, -13, 408
-198, -17, 339
-392, -56, 485
-482, 15, 372
-644, 49, -39
-644, 49, -39
-681, -82, 233
-1127, -113, 548
-1397, -60, 387
-1665, -89, 378
-1785, -42, 829
-1795, 42, 918
-1693, 2, 677
-1538, -67, 567
-1475, -34, 587
-1385, -59, 509
-1385, -59, 509
-1211, -157, 375
-1156, -126, 477
-1159, -50, 475
-1247, -139, 435
-1398, -102, 510
-1429, -45, 668
-1419, -95, 663
-,-,-
-631, -123, 162
-844, -45, 322
-844, -45, 322
-836, -158, 286
-564, -175, 267
-730, -245, 88
-650, -115, 241
-337, -83, 264
-328, -146, 433
-450, -135, 395
-743, 0, 283
-821, 48, 233
-821, 48, 233
-752, 54, 185
-892, -30, 278
-889, 83, 241
-898, 88, 240
-981, 12, 119
-981, 12, 119
-1039, 23, 261
-1254, 187, 705
-1260, 234, 793
-1287, 141, 544
-1235, 76, 606
-1309, 73, 791
-1460, 99, 903
-1460, 99, 903
-1652, 122, 869
-1875, 147, 838
-1998, 148, 837
-1822, 189, 803
-,-,-
-865, -170, -56
-1089, -45, -68
-684, 43, 532
-684, 43, 532
-556, -80, 826
-742, -110, 129
-707, -77, 50
-395, -123, 366
-450, -138, 342
-560, -117, 121
-598, -127, 26
-598, -127, 26
-647, -14, 116
-836, -17, -117
-1086, 31, -46
-1005, 30, 93
-1032, 56, 241
-1149, 46, 269
-1151, 17, 349
-1140, 50, 492
-1140, 50, 492
-1273, 110, 412
-1344, 154, 236
-1387, 208, 401
-1371, 185, 548
-1362, 122, 556
-1483, 153, 627
-1651, 235, 691
-1581, 234, 675
-1476, 197, 694
-1363, 155, 660
-1363, 140, 692
-1320, 111, 582
-1320, 111, 582
-1398, 147, 593
-,-,-
-848, -61, 48
-848, -61, 48
-855, -7, 54
-707, -21, 590
-738, -62, 629
-676, -81, 378
-469, -186, 358
-377, -198, 320
-377, -198, 320
-487, -47, 220
