-,-,-
-995, -87, 215
-995, -87, 215
-972, -110, 358
-926, -146, 490
-936, -155, 462
-922, -186, 443
-899, -198, 384
-872, -235, 320
-802, -405, 319
-681, -628, 153
-570, -830, 61
-457, -991, 153
-361, -1114, 206
-279, -1139, 234
-273, -930, 332
-273, -930, 332
-401, -432, 511
-627, 311, 775
-768, 821, 853
-811, 1245, 765
-859, 1781, 854
-938, 1997, 1072
-949, 1997, 1067
-847, 1997, 851
-622, 1788, 864
-409, 928, 837
-246, 26, 766
-210, -906, 867
-210, -906, 867
-332, -1610, 951
-,-,-
-617, -47, -34
-679, -141, 69
-613, -198, 317
-633, -153, 151
-654, -164, 171
-604, -243, 280
-541, -351, 163
-541, -351, 163
-480, -500, 57
-408, -611, -92
-288, -759, -88
-165, -962, -1
-72, -1198, 381
-149, -1102, 445
-364, -623, 591
-635, -121, 873
-868, 437, 1191
-1063, 1008, 1467
-1162, 1554, 1450
-1076, 1923, 1215
-973, 1997, 1215
-789, 1986, 1219
-558, 1595, 835
-386, 1007, 665
-443, 510, 614
-519, -289, 776
-631, -854, 753
-631, -854, 753
-754, -1246, 979
-,-,-
-486, -51, -42
-242, -116, -258
-189, -300, -184
-116, -522, 183
-170, -679, 164
-257, -596, 313
-432, -501, 536
-631, -471, 550
-654, -715, 576
-582, -936, 684
-582, -936, 684
-552, -869, 828
-671, -210, 935
-773, 414, 1148
-854, 989, 1221
-768, 1375, 1225
-665, 1701, 1059
-613, 1875, 1011
-604, 1870, 963
-535, 1565, 874
-478, 1002, 722
-456, 380, 571
-510, -210, 877
-642, -486, 1252
-868, -640, 1417
-,-,-
-556, -108, -300
-428, -249, -234
-352, -203, 127
-292, -353, 708
-334, -371, 783
-371, -275, 626
-371, -275, 626
-443, -100, 461
-537, 32, 372
-563, -123, 415
-535, -508, 464
-541, -947, 475
-482, -1279, 540
-395, -1107, 567
-434, -404, 759
-585, 624, 988
-707, 1710, 1199
-839, 1997, 1332
-830, 1997, 1077
-659, 1997, 643
-415, 1779, 512
-302, 854, 689
-302, 854, 689
-253, -353, 854
-404, -1004, 923
-601, -1483, 1510
-879, -1547, 1686
-1042, -1534, 1857
-,-,-
-423, 49, 140
-447, -121, 263
-345, -155, 227
-211, -508, 226
-93, -784, 111
-73, -952, 285
-217, -881, 475
-327, -817, 569
-413, -644, 688
-413, -644, 688
-581, -180, 942
-775, 267, 1245
-793, 308, 1340
-675, 393, 1141
-602, 939, 1031
-607, 1873, 1208
-591, 1997, 1328
-473, 1997, 965
-277, 1899, 576
-141, 1317, 546
-200, 419, 564
-314, -674, 645
-475, -1397, 1021
-736, -1680, 1645
-973, -1640, 1892
-1117, -1308, 1676
-1132, -991, 1472
-1126, -751, 1223
-,-,-
-275, 85, 86
-205, -151, 37
-119, -441, 217
-86, -660, 373
-128, -735, 467
-244, -741, 551
-448, -587, 527
-588, -589, 690
-652, -658, 926
-644, -830, 1056
-634, -657, 951
-634, -657, 951
-656, -78, 1123
-599, 655, 1209
-554, 1523, 1029
-550, 1993, 1012
-551, 1997, 1056
-429, 1997, 865
-270, 1858, 532
-141, 921, 608
-189, -193, 751
-337, -1154, 1200
-577, -1532, 1496
-820, -1560, 1651
-986, -1350, 1666
-1072, -1074, 1651
-,-,-
-381, -139, 205
-232, -344, 135
-85, -499, 4
-25, -691, 182
-21, -767, 465
-21, -767, 465
-88, -670, 462
-214, -550, 356
-376, -542, 517
-468, -699, 766
-531, -693, 962
-630, -240, 969
-720, 556, 1201
-655, 1473, 1497
-615, 1997, 1440
-545, 1997, 1314
-377, 1996, 890
-208, 1521, 495
-160, 548, 478
-160, 548, 478
-261, -498, 802
-453, -1356, 1153
-729, -1681, 1579
-967, -1596, 1916
-1171, -1324, 1972
-,-,-
-480, 30, 95
-449, -92, 427
-399, -132, 621
-320, -281, 412
-286, -382, 265
-245, -510, 260
-257, -578, 109
-264, -787, 7
-260, -994, 40
-260, -994, 40
-287, -1045, 294
-433, -767, 809
-606, -127, 1078
-652, 565, 1363
-588, 1252, 1556
-525, 1937, 1451
-495, 1997, 1358
-375, 1997, 1092
-179, 1730, 704
-97, 895, 454
-79, 8, 380
-192, -921, 801
-430, -1431, 1434
-756, -1426, 1684
