-,-,-
-916, 221, 199
-923, 216, 188
-937, 225, 209
-1011, 221, 218
-1060, 224, 183
-988, 233, 221
-981, 237, 247
-942, 232, 262
-930, 222, 263
-930, 222, 263
-906, 181, 238
-1000, 176, 215
-923, 179, 240
-902, 170, 270
-1016, 204, 310
-988, 220, 274
-902, 205, 252
-955, 187, 252
-955, 187, 252
-1028, 171, 307
-940, 135, 366
-897, 109, 337
-1031, 103, 347
-1078, 93, 436
-1097, 76, 415
-1058, 117, 326
-1142, 190, 287
-1153, 249, 352
-1095, 317, 346
-1095, 317, 346
-1194, 396, 218
-1213, 483, 14
-1161, 572, -122
-1170, 578, -32
-1106, 537, 102
-1077, 504, 221
-1032, 508, 221
-971, 493, 165
-1021, 506, 86
-1006, 546, 30
-1030, 577, 54
-1030, 577, 54
-973, 554, 136
-948, 530, 93
-874, 515, -11
-825, 454, 37
-850, 393, 103
-744, 341, 103
-633, 287, 81
-633, 287, 81
-727, 232, 103
-690, 192, 132
-595, 177, 151
-672, 165, 138
-788, 156, 164
-682, 90, 210
-682, 90, 210
-680, 58, 134
-732, -10, 116
-811, -79, 183
-797, -117, 194
-782, -149, 142
-822, -206, 137
-835, -246, 234
-826, -277, 248
-826, -277, 248
-777, -363, 204
-813, -429, 172
-919, -394, 237
-1006, -343, 303
-1060, -352, 362
-987, -385, 408
-1107, -360, 432
-1213, -309, 433
-1150, -350, 457
-1048, -323, 419
-1150, -203, 402
-1251, -118, 417
-1171, -91, 441
-1031, -22, 350
-1086, 121, 234
-1158, 281, 224
-1110, 412, 287
-1057, 477, 358
-1030, 536, 285
-1077, 601, 223
-1053, 577, 248
-1053, 577, 248
-992, 515, 311
-965, 473, 369
-986, 445, 341
-,-,-
-996, 157, 312
-946, 169, 312
-873, 149, 337
-958, 142, 379
-1048, 145, 309
-921, 146, 288
-834, 133, 361
-969, 129, 398
-997, 128, 318
-997, 128, 318
-908, 123, 307
-893, 111, 368
-942, 99, 425
-941, 67, 389
-862, 28, 381
-870, -24, 439
-870, -24, 439
-916, -47, 441
-942, -16, 413
-1025, 40, 484
-1122, 82, 504
-1214, 123, 405
-1202, 186, 426
-1234, 264, 418
-1326, 385, 226
-1309, 508, 79
-1309, 508, 79
-1320, 581, 104
-1365, 636, 45
-1378, 673, 52
-1229, 657, 274
-1065, 596, 402
-1034, 600, 399
-1046, 640, 434
-987, 650, 355
-981, 685, 246
-981, 685, 246
-983, 697, 139
-820, 614, 86
-759, 533, 81
-748, 476, 83
-650, 405, 62
-650, 382, 33
-650, 382, 33
-556, 266, 137
-488, 144, 203
-393, 17, 158
-433, -66, 92
-488, -119, 81
-488, -119, 81
-538, -138, 129
-538, -167, 226
-571, -205, 211
-667, -226, 146
-719, -218, 168
-723, -232, 291
-726, -263, 304
-751, -314, 252
-847, -286, 208
-868, -263, 188
-959, -274, 296
-1016, -343, 406
-1021, -372, 349
-1043, -385, 356
-1119, -458, 449
